chart_pos,artist,title,release_year,country,link
100,Instra:mental,"Pacific Heights",2019,UK,https://www.youtube.com/embed/76ge_KR24V4
99,"Influx UK","Ghost People (Take My 2004)",2004,UK,https://www.youtube.com/embed/kqOfcnnkheQ
98,UFO95,Rrkja,2020,FR,https://www.youtube.com/embed/Dt3aRqG-F4o
97,"Technikal & Jared P",Heatwave,2017,UK,https://www.youtube.com/embed/GiiBISe_RXg
96,"Special Request","Family Doggo",2020,UK,https://www.youtube.com/embed/MWUzuWpSYRM
95,Uamee,Protivogaz,2017,LV,https://www.youtube.com/embed/2TA9_1OwRoU
94,Uamee,IL-76,2018,LV,https://www.youtube.com/embed/Y_-QonjPdUo
93,MRD,"First Love",2020,NO,https://www.youtube.com/embed/UKsBY-2Fo8s
92,MRD,Superwoman,2020,NO,https://www.youtube.com/embed/gnPJ6zAzB2c
91,"Donny Benét","You Don't Need Love",2020,AU,https://www.youtube.com/embed/UOyT9VM4drA
90,"New Order","Be a Rebel (Renegade Spezial Edit)",2020,UK,https://www.youtube.com/embed/ZJtulxuimzY
89,"Martial Canterel","Other Half (2020)",2020,US,https://www.youtube.com/embed/3GZy3OOAOYM
88,Zanias,"In Eternal Return",2016,UK,https://www.youtube.com/embed/L9cZTkJMD-M
87,"Special Request","Spectral Frequency",2020,UK,https://www.youtube.com/embed/xvTxyFmoNVY
86,Maruwa,"31 Seconds",2019,RU,https://www.youtube.com/embed/_bnJtlVhkas
85,"John B","Pressure 2019",2020,UK,https://www.youtube.com/embed/ZP_G5cyomRc
84,"M.I.K.E. Push","Night Shades (Extended Mix)",2016,BE,https://www.youtube.com/embed/eqCHwFj1oXw
83,"M.I.K.E. Push","Sonorous (Extended Mix)",2017,BE,https://www.youtube.com/embed/6V41e7ksS04
82,L.O.A.S.,"VLV (RER E Remix)",2017,FR,https://www.youtube.com/embed/w3ifquwET1Y
81,Rhythmics,"Counting Hours",2011,US,""
80,"The Thrillseekers & M.I.K.E. Push","Meraki (Extended Mix)",2017,BE/UK,https://www.youtube.com/embed/zwApUmQXegI
79,"Tindersticks feat. Robert Pattinson",Willow,2019,UK,https://www.youtube.com/embed/8xNSN6Kd8rI
78,"M.I.K.E. Push vs Robert Nickson","Lunar Lander (Extended Mix)",2019,BE/NL,https://www.youtube.com/embed/3ioyzE_MCpg
77,Zanias,"Follow the Body (Dax J Remix)",2017,UK,https://www.youtube.com/embed/vW2euInu7C8
76,"Shadow feat. Marie Louise","Spending My Time",2011,DE/UK,""
75,"DJ Blyatman feat. Life of Boris","Slav King",2017,PL/SK,https://www.youtube.com/embed/QIjKijhv1OU
74,"Robert Nickson with M.I.K.E. Push","Blue Encounter (Extended Mix)",2020,BE/NL,https://www.youtube.com/embed/MKMUsA-fikY
73,"DJ Blyatman","Tsar Bomb",2017,SK,https://www.youtube.com/embed/JsCfAmCpVrE
72,"This Cold Night","Wings of Regret",2016,US,https://www.youtube.com/embed/z4f1MLz_Uf4
71,Trisector,"Morning Rain",2009,FI,https://www.youtube.com/embed/CLuhy-q_ep0
70,"Cat Like Thief","As Rain Falls (Strife II Remix)",2011,UK,https://www.youtube.com/embed/lTNnmR-vIEc
69,"London Elektricity","Different Drum (Dillinja Remix)",2003,UK,https://www.youtube.com/embed/O7y3JHKT_hE
68,Kryphon,"Hold On",2020,UK,https://www.youtube.com/embed/Aqa8A4CdEGM
67,"This Cold Night","Faded to Gray",2017,US,https://www.youtube.com/embed/Q1WvPVbmoKc
66,"Jakka-B feat. Saydi Driggers","Take Me Home (Extended Mix)",2020,UK,https://www.youtube.com/embed/lGJ6K31XYAc
65,Venetica,"Young At Heart",2018,UK,https://www.youtube.com/embed/hdRudvL70rQ
64,"London Elektricity","This Dark Matter",2008,UK,https://www.youtube.com/embed/uVqNyEvRauI
63,"Armand van Helden feat. Karmen","Still In Love",2007,US,https://www.youtube.com/embed/YOTKQMyPmJA
62,Schacke,"Kisloty People",2019,DK,https://www.youtube.com/embed/FundLlhlUgk
61,"Matrefakt feat. Poppi","Keep the Faith (Black Loops Remix)",2020,IT/UK,https://www.youtube.com/embed/pPIV6yCgVmU
60,Metrik,"Inner Child",2010,UK,https://www.youtube.com/embed/OiyJoW4fgEk
59,Instra:mental,Elsewhere,2019,UK,https://www.youtube.com/embed/iuiAguCHLFg
58,"London Elektricity","Bare Religion",2008,UK,https://www.youtube.com/embed/i8IaLQ3tDgE
57,"Highfield Casuals","Highfield Daze",2016,UK,https://www.youtube.com/embed/JsxBL46N97A
56,"Natureboy Gold","Prozac Test",2016,DE,https://www.youtube.com/embed/HnsBoiK38WY
55,"Lin Pesto","Ölmeden",2019,TR,https://www.youtube.com/embed/BXCHENcz-Y0
54,"Casual Gabberz","IDF Interlude V",2017,FR,https://www.youtube.com/embed/SnMzgfms4No
53,"Virtual Self","Ghost Voices",2017,US,https://www.youtube.com/embed/HPc8QMycGno
52,MRD,Etnas,2020,NO,https://www.youtube.com/embed/ILdzhPGZuzM
51,Maruwa,"Seven Heaven",2019,RU,https://www.youtube.com/embed/TJgiosDKsv4
50,Technikal,"Heaven's Touch (Technikal's Unreleased Original Version)",2012,UK,https://www.youtube.com/embed/tD-p6UC2tcM
49,"Technikal & Carl Nicholson","System Shock",2005,UK,https://www.youtube.com/embed/_CtJUNEWy-0
48,"Technikal & Pierre Pienaar","Global Panic",2005,NA/UK,https://www.youtube.com/embed/vkDzQGmrwzc
47,"Figure Study",Wait,2013,US,https://www.youtube.com/embed/3Qmrprx8Gi4
46,"Bad Company","Grunge 3 (Dieselboy & Kaos & Karl K Remix)",2003,UK,https://www.youtube.com/embed/LOCU868lgSg
45,"Steve Hill, Technikal, Costa Pantazis","Gamemaster Part 2",2011,UK,https://www.youtube.com/embed/Ml9ArWlC_8M
44,"Jessy Lanza","Keep Moving",2013,CA,https://www.youtube.com/embed/mEphfEXV7lw
43,Kuedo,"A Glittering River",2020,UK,https://www.youtube.com/embed/04faPWVrhxs
42,"Special Request","No Other Way to Say It",2020,UK,https://www.youtube.com/embed/YhrjgDSw5Ew
41,"High Contrast","Love on a 45",2017,UK,https://www.youtube.com/embed/pwdzhKp0Sgs
40,"Costa Pantazis & Guyver",Surekill,2011,UK,https://www.youtube.com/embed/UfFd4S4nVNs
39,"Deutsch Amerikanische Freundschaft","Als Wär's Das Letzte Mal (Boys Noize Remix)",2017,DE,https://www.youtube.com/embed/HE23A5d2Tlg
38,Capone,"Tudor Rose (Shimon Remix)",2003,UK,https://www.youtube.com/embed/uCVrxxEa2s4
37,"Lanark Artefax","Voices Near The Hypocentre",2017,UK,https://www.youtube.com/embed/nIYTAQJQjUk
36,"Above & Beyond vs Armin Van Buuren","Show Me Love (A & Z Extended Remix)",2020,EG/NL/UK,https://www.youtube.com/embed/XDMcTYNksKk
35,Batushka,"Yekteniya 4",2015,PL,https://www.youtube.com/embed/8iny7d7TQIM
34,Shinra,Pinwheel,2017,UK,https://www.youtube.com/embed/ywr9BxrO4iM
33,Asquith,"Let Me (Rave Mix)",2019,UK,https://www.youtube.com/embed/IhkuARmR8fs
32,"A. G. Cook",Dust,2020,UK,https://www.youtube.com/embed/wFsxh7HROHw
31,"Donny Benét","Mr Experience",2020,AU,https://www.youtube.com/embed/xQeyhQAglmE
30,"Charli Brix & Visages","Full Circle (DJ Marky Remix)",2020,BR/FR/UK,https://www.youtube.com/embed/l9BWNSPxHNE
29,"Jessy Lanza",5785021,2013,CA,https://www.youtube.com/embed/D88fLHQh3NU
28,"M.I.K.E. Push",Circa,2016,BE,https://www.youtube.com/embed/V1XRsgOa9v8
27,"CMH & Russian Village Boys","Диски-Вписки",2020,RU,https://www.youtube.com/embed/8TPN0x9NPuM
26,"Influx UK","Take My",2003,UK,https://www.youtube.com/embed/XEa5eOo_U38
